vds,wg,nfing,gdg,gsg,batchNum,vgs,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM,area
16,62.5,2,22,48,982,-1.2,2.70234,-13.4837,-30.99983,82.18504,1.50556,10.69585,-49.792320000000004,25.2865,-3.23013,11.25451,-16.38801,8.018410000000001,125.0
16,62.5,2,22,78,983,-1.2,2.70931,-14.3964,-30.98238,79.70229,1.4455799999999999,10.61963,-49.74678,25.29768,-3.2310000000000003,11.188369999999999,-16.76117,8.01769,125.0
16,62.5,2,52,33,141,-1.2,2.73234,-11.7182,-30.94404,76.15725,1.49746,10.65354,-49.63815,25.33445,-3.11483,11.14578,-15.7393,8.02022,125.0
16,62.5,2,52,48,984,-1.2,2.71817,-12.32456,-30.95285,78.15198000000001,1.45226,10.53315,-49.34407,25.31186,-3.10937,11.026819999999999,-16.00623,8.01944,125.0
16,62.5,2,52,78,985,-1.2,2.7166,-13.49947,-30.956129999999998,76.3808,1.3717700000000002,10.37081,-49.56276,25.30935,-3.08931,10.87466,-16.5265,8.01826,125.0
16,62.5,4,22,33,986,-1.2,2.70439,-12.66346,-30.12933,85.87089,1.55923,10.72904,-50.40867,28.3001,-3.30405,11.28968,-19.08734,8.02483,250.0
16,62.5,4,22,48,987,-1.2,2.70249,-13.50804,-30.1272,85.07377,1.48235,10.60482,-50.37831,28.297040000000003,-3.30997,11.17183,-19.4601,8.023639999999999,250.0
16,62.5,4,22,78,988,-1.2,2.70201,-15.036579999999999,-30.12565,80.53705,1.37378,10.39455,-50.62123,28.29627,-3.28464,10.986930000000001,-20.19311,8.02183,250.0
16,62.5,4,52,33,142,-1.2,2.69647,-12.85087,-30.10843,78.37689,1.52569,10.65355,-50.07712,28.287359999999996,-3.23204,11.206669999999999,-19.20584,8.02443,250.0
16,62.5,4,52,48,989,-1.2,2.68661,-13.972779999999998,-30.11463,79.44091999999999,1.44207,10.47717,-50.34691,28.27145,-3.22514,11.036,-19.67211,8.022969999999999,250.0
16,62.5,4,52,78,990,-1.2,2.67128,-15.470279999999999,-30.13395,77.72972,1.3280399999999999,10.181980000000001,-50.68793,28.2466,-3.16969,10.76577,-20.535,8.02082,250.0
16,75.0,2,22,33,41,-1.2,2.46944,-14.746179999999999,-30.88415,83.99455999999999,1.58487,10.50939,-49.98008,25.68689,-3.21421,11.14601,-17.77243,8.015189999999999,150.0
16,75.0,2,22,48,42,-1.2,2.4706799999999998,-15.10345,-30.83367,83.48435,1.5595299999999999,10.470999999999998,-50.07728,25.68908,-3.2204,11.110389999999999,-17.97185,8.02435,150.0
16,75.0,2,22,78,43,-1.2,2.4783,-15.644029999999999,-30.8162,80.73733,1.506,10.4172,-50.22462,25.702460000000002,-3.2253,11.066880000000001,-18.31405,8.02192,150.0
16,75.0,2,52,33,145,-1.2,2.66889,-14.67716,-30.92718,78.19504,1.51568,10.06814,-50.44255,26.02423,-3.01372,10.71344,-18.21979,8.02006,150.0
16,75.0,2,52,48,44,-1.2,2.65567,-14.88168,-30.94472,79.7118,1.48641,9.970180000000001,-50.63939,26.00265,-3.0040400000000003,10.620280000000001,-18.47034,8.01764,150.0
16,75.0,2,52,78,45,-1.2,2.65599,-15.24175,-30.94892,77.55258,1.42918,9.84657,-50.97285,26.00317,-2.95994,10.50681,-18.93066,8.022689999999999,150.0
16,87.5,2,22,33,1001,-1.2,2.48191,-14.42772,-30.676409999999997,86.55415,1.51747,9.981069999999999,-50.60223,26.37824,-3.1876,10.60952,-18.79991,8.01609,175.0
16,87.5,2,22,48,1002,-1.2,2.48576,-14.79008,-30.674290000000003,85.96455999999999,1.48563,9.94485,-50.75806,26.38498,-3.19215,10.57865,-19.04792,8.01428,175.0
16,87.5,2,22,78,1003,-1.2,2.49912,-15.11704,-30.667270000000002,83.086,1.43201,9.899389999999999,-51.01195,26.40826,-3.193,10.54295,-19.46728,8.01308,175.0
16,87.5,2,52,33,149,-1.2,2.7002200000000003,-14.503060000000001,-30.74212,79.97818000000001,1.51276,9.84844,-50.84683,26.74437,-3.0709,10.496260000000001,-19.086920000000003,8.013739999999999,175.0
16,87.5,2,52,48,1004,-1.2,2.6941,-14.6928,-30.75275,81.04341,1.48225,9.77634,-51.03018,26.73452,-3.06757,10.42687,-19.34035,8.01351,175.0
16,87.5,2,52,78,1005,-1.2,2.70273,-15.05456,-30.73756,78.83017,1.42428,9.68727,-51.383140000000004,26.7484,-3.05329,10.3453,-19.76088,8.0241,175.0
16,100.0,2,22,33,61,-1.2,2.45622,-15.39114,-30.75879,88.07475,1.59307,9.50797,-51.61241,26.912979999999997,-3.1735599999999997,10.25233,-20.48176,8.01885,200.0
16,100.0,2,22,48,62,-1.2,2.4621299999999997,-15.54706,-30.75422,87.01309,1.56774,9.48638,-51.71727,26.9234,-3.17571,10.23371,-20.580379999999998,8.01857,200.0
16,100.0,2,22,78,63,-1.2,2.47739,-15.80835,-30.736720000000002,83.7085,1.52447,9.46343,-51.87961,26.95025,-2.6505400000000003,10.21476,-20.751910000000002,8.02462,200.0
16,100.0,2,52,33,153,-1.2,2.47507,-15.38096,-30.6982,81.86071,1.54512,9.46932,-51.70483,26.94618,-3.11119,10.19385,-20.58951,8.01913,200.0
16,100.0,2,52,48,64,-1.2,2.4733099999999997,-15.544070000000001,-30.69205,81.92436,1.51901,9.41658,-51.84019,26.94309,-3.10716,10.14495,-20.697689999999998,8.01874,200.0
16,100.0,2,52,78,65,-1.2,2.47925,-15.827539999999999,-30.67169,79.71435,1.47295,9.35029,-52.04685,26.953509999999998,-3.07862,10.08372,-20.89401,8.023430000000001,200.0
20,25.0,2,22,33,81,-1.2,3.43445,-8.993319999999999,-31.611959999999996,81.14043000000001,1.3880000000000001,12.02917,-50.35687,22.34828,-3.9702699999999997,12.326189999999999,-10.17726,8.01948,50.0
20,25.0,2,22,48,82,-1.2,3.40818,-10.040410000000001,-31.628840000000004,83.16291,1.3181,11.85615,-50.67196,22.31493,-3.95105,12.154160000000001,-10.795110000000001,8.01844,50.0
20,25.0,2,22,78,83,-1.2,3.38239,-11.720139999999999,-31.67271,83.45724,1.22435,11.587110000000001,-51.167120000000004,22.28193,-3.9164800000000004,11.91093,-12.68117,8.01698,50.0
20,25.0,2,52,33,157,-1.2,3.57705,-10.84152,-31.56702,78.0489,1.40041,11.387089999999999,-51.240970000000004,22.52494,-3.65181,11.747630000000001,-11.73145,8.02289,50.0
20,25.0,2,52,48,84,-1.2,3.5156300000000003,-12.180530000000001,-31.60055,82.01133,1.3169600000000001,11.01182,-49.91122,22.44973,-3.56525,11.38875,-12.909289999999999,8.01716,50.0
20,25.0,2,52,78,85,-1.2,3.45528,-14.62319,-31.70171,80.69421,1.20691,10.462019999999999,-49.31216,22.37454,-3.4218900000000003,10.89622,-14.15412,8.023480000000001,50.0
20,25.0,4,22,33,86,-1.2,3.43097,-8.29567,-31.32078,83.01807,1.75542,12.55896,-50.33381,25.35417,-3.98089,12.955960000000001,-12.6579,8.01555,100.0
20,25.0,4,22,48,87,-1.2,3.3908300000000002,-9.77582,-31.37705,84.7202,1.69228,12.25005,-50.80742,25.30307,-3.9139,12.68562,-13.53912,8.0234,100.0
20,25.0,4,22,78,88,-1.2,3.2640700000000002,-11.4213,-31.513070000000003,83.15235,1.6569200000000002,11.6706,-51.5441,25.1376,-3.7382800000000005,12.199160000000001,-15.0074,8.022860000000001,100.0
20,25.0,4,52,33,158,-1.2,3.26663,-12.11203,-31.382740000000002,78.64652,1.60784,11.60399,-51.5581,25.14101,-3.65921,12.11015,-15.4633,8.02058,100.0
20,25.0,4,52,48,89,-1.2,3.40728,-13.66184,-31.465320000000002,82.46642,1.5730899999999999,11.03615,-50.69451,25.32408,-3.48355,11.60126,-16.44409,8.018289999999999,100.0
