,,,,,batchNumber,VGS,fT_plt,fmax_plt,nf_min,gain
,,,,,min,min,min,min,min,min
VDS,Wg,nfing,gdg_val,gsg_val,,,,,,
16,62.5,4,52,48,262,-1.6,31.31735515,106.3352446,-1.2675084,1.238191
16,62.5,4,52,63,263,-1.6,31.18338935,106.5581877,-1.2637093,1.1605746
16,62.5,4,52,78,264,-1.6,31.07090523,106.7307484,-1.2606151,1.0875685
16,62.5,6,22,33,421,-1.6,32.55587261,106.5765447,-1.2802214,0.4002758
16,62.5,6,22,48,422,-1.6,32.42507152,106.8781487,-1.2766573,0.3304626
16,62.5,6,22,63,423,-1.6,32.32331158,107.0912687,-1.2740075000000002,0.2621235
16,62.5,6,22,78,424,-1.6,32.23933837,107.2545165,-1.2718896,0.1946613
16,62.5,6,37,33,425,-1.6,32.48525316,106.2440737,-1.2792639,0.097728
16,62.5,6,37,48,426,-1.6,32.34843592,106.5525761,-1.2753025,0.019075400000000003
16,62.5,6,37,63,427,-1.6,32.2418549,106.7722504,-1.2723445,-0.0558367
16,62.5,6,37,78,428,-1.6,32.15407751,106.9418872,-1.2699742,-0.1284207
16,62.5,6,52,33,429,-1.6,32.40903949,106.0231327,-1.27615,-0.2117968
16,62.5,6,52,48,430,-1.6,32.26496012,106.3353346,-1.2716586,-0.2999686
16,62.5,6,52,63,431,-1.6,32.15284812,106.5582742,-1.2682916000000002,-0.3818818
16,62.5,6,52,78,432,-1.6,32.06061677,106.7308322,-1.2655872,-0.4598654
16,62.5,8,22,33,589,-1.6,32.45178871,106.5762185,-1.2810594,-1.2238866000000002
16,62.5,8,22,48,590,-1.6,32.3375074,106.8778224,-1.2775376,-1.301559
16,62.5,8,22,63,591,-1.6,32.25033493,107.0909442,-1.2749276000000005,-1.3782691
16,62.5,8,22,78,592,-1.6,32.18006258,107.2541915,-1.2728478,-1.4543841999999998
16,62.5,8,37,33,593,-1.6,32.38387384,106.2437469,-1.2802357,-1.5533007
16,62.5,8,37,48,594,-1.6,32.26419668,106.5522486,-1.2763704,-1.6388293
16,62.5,8,37,63,595,-1.6,32.17302517,106.7719223,-1.2735025,-1.7210104
16,62.5,8,37,78,596,-1.6,32.09939604,106.9415587,-1.2712175,-1.8010713
16,62.5,8,52,33,597,-1.6,32.31098919,106.02280829999998,-1.2772828,-1.8872491
16,62.5,8,52,48,598,-1.6,32.18483122,106.3350086,-1.2729531,-1.9812179
16,62.5,8,52,63,599,-1.6,32.08875074,106.5579471,-1.2697368999999998,-2.0692199
16,62.5,8,52,78,600,-1.6,32.01118926,106.7305044,-1.2671749,-2.1534386000000003
16,75.0,2,22,33,109,-1.6,31.41308273,103.8466954,-1.2997053,2.9973059
16,75.0,2,22,48,110,-1.6,31.27748601,104.1810199,-1.2959405000000002,2.9842009
16,75.0,2,22,63,111,-1.6,31.16751682,104.4191587,-1.2931198999999998,2.9730021
16,75.0,2,22,78,112,-1.6,31.07392602,104.6035682,-1.2908498,2.9631369
16,75.0,2,37,33,113,-1.6,31.3487676,103.480418,-1.2984425,2.7294992
16,75.0,2,37,48,114,-1.6,31.20688322,103.8202597,-1.2941364,2.7100287
16,75.0,2,37,63,115,-1.6,31.09212109,104.0638052,-1.2908746000000002,2.6937205
16,75.0,2,37,78,116,-1.6,30.99433824,104.2520537,-1.2882271,2.6795291
16,75.0,2,52,33,117,-1.6,31.28016904,103.238884,-1.2949044,2.4435088
16,75.0,2,52,48,118,-1.6,31.13087332,103.58064190000002,-1.289892,2.4167478
16,75.0,2,52,63,119,-1.6,31.01019489,103.8266133,-1.2860591,2.3945921
16,75.0,2,52,78,120,-1.6,30.90755232,104.0180681,-1.2829254,2.3754535
16,75.0,4,22,33,277,-1.6,32.08480338,103.8480742,-1.3029415000000002,1.3164888
16,75.0,4,22,48,278,-1.6,31.96264652,104.1824212,-1.2992503999999998,1.2619843000000002
16,75.0,4,22,63,279,-1.6,31.86534073,104.4205844,-1.296496,1.2089919
16,75.0,4,22,78,280,-1.6,31.78309454,104.6050124,-1.2942870000000002,1.1569724
16,75.0,4,37,33,281,-1.6,32.02214405,103.4817889,-1.3021824,1.0527544
16,75.0,4,37,48,282,-1.6,31.89438969,103.82163,-1.2980534,0.9895958
16,75.0,4,37,63,283,-1.6,31.79230338,104.0651671,-1.2949481000000005,0.9298089
16,75.0,4,37,78,284,-1.6,31.7064595,104.25341740000002,-1.2924428999999995,0.8721798000000001
16,75.0,4,52,33,285,-1.6,31.95552755,103.2402841,-1.2992511,0.7811300999999999
16,75.0,4,52,48,286,-1.6,31.82091913,103.5820316,-1.2945411,0.7085001
16,75.0,4,52,63,287,-1.6,31.71366935,103.8279967,-1.2909735,0.6413463
16,75.0,4,52,78,288,-1.6,31.62340881,104.0194374,-1.2880804,0.5776859999999999
16,75.0,6,22,33,445,-1.6,33.19712656,103.8479597,-1.3050285,-0.4210526
16,75.0,6,22,48,446,-1.6,33.09810169,104.1823085,-1.3014712,-0.4747483
16,75.0,6,22,63,447,-1.6,33.02188087,104.420471,-1.2988342,-0.5284866
16,75.0,6,22,78,448,-1.6,32.95958709,104.6048975,-1.2967316999999998,-0.5822693
16,75.0,6,37,33,449,-1.6,33.13623532,103.4816721,-1.3050788,-0.6894368000000001
16,75.0,6,37,48,450,-1.6,33.03226908,103.8215118,-1.3012494,-0.7501338000000001
16,75.0,6,37,63,451,-1.6,32.95225726,104.0650487,-1.2984055,-0.809005
16,75.0,6,37,78,452,-1.6,32.88707503,104.2532981,-1.2961367,-0.8667326999999999
16,75.0,6,52,33,453,-1.6,33.07214735,103.2401733,-1.3031323,-0.9623232
16,75.0,6,52,48,454,-1.6,32.9624405,103.5819173,-1.2989229,-1.0306488
16,75.0,6,52,63,455,-1.6,32.87805204,103.8278801,-1.2957913,-1.0950653
16,75.0,6,52,78,456,-1.6,32.80913411,104.0193198,-1.2932917,-1.1570194
16,75.0,8,22,33,613,-1.6,33.05520851,103.8474892,-1.3059862,-2.1815743
16,75.0,8,22,48,614,-1.6,32.97329922,104.1818419,-1.3024712,-2.2385414
16,75.0,8,22,63,615,-1.6,32.91231814,104.4200045,-1.2998742,-2.2962756
16,75.0,8,22,78,616,-1.6,32.86439305,104.6044308,-1.29781,-2.3544961
16,75.0,8,37,33,617,-1.6,32.99714042,103.4812004,-1.3061723,-2.4685202
16,75.0,8,37,48,618,-1.6,32.91108352,103.8210396,-1.3024399,-2.531634
16,75.0,8,37,63,619,-1.6,32.84963486,104.0645797,-1.299687,-2.5935769
16,75.0,8,37,78,620,-1.6,32.79630406,104.252829,-1.2975045,-2.6547752
16,75.0,8,52,33,621,-1.6,32.9365069,103.2397041,-1.3043893,-2.758211
16,75.0,8,52,48,622,-1.6,32.84522108,103.5814466,-1.3003437,-2.8280129
16,75.0,8,52,63,623,-1.6,32.77752178,103.8274085,-1.297365,-2.8945007
16,75.0,8,52,78,624,-1.6,32.72407089,104.0188511,-1.29501,-2.9588889
16,87.5,2,22,33,133,-1.6,31.69841022,100.9390678,-1.3282601,2.7914651000000004
16,87.5,2,22,48,134,-1.6,31.58536477,101.3060684,-1.3244532,2.7826321
16,87.5,2,22,63,135,-1.6,31.4934864,101.5702051,-1.3216069,2.774906
16,87.5,2,22,78,136,-1.6,31.41510861,101.7761327,-1.3193201,2.7680113
16,87.5,2,37,33,137,-1.6,31.64135503,100.5398135,-1.3277468,2.5215251
16,87.5,2,37,48,138,-1.6,31.52283992,100.9102883,-1.3234860000000002,2.506733
16,87.5,2,37,63,139,-1.6,31.42671322,101.1769679,-1.3202691999999998,2.4942231
16,87.5,2,37,78,140,-1.6,31.3447157,101.3849061,-1.3176648000000002,2.4832777000000004
16,87.5,2,52,33,141,-1.6,31.58159559,100.2785059,-1.3250498,2.2371567000000003
16,87.5,2,52,48,142,-1.6,31.45672843,100.6488312,-1.3201866000000002,2.2155855
16,87.5,2,52,63,143,-1.6,31.35555681,100.9173718,-1.3164821000000002,2.1976366
16,87.5,2,52,78,144,-1.6,31.26933208,101.1267676,-1.3134624,2.1820884
16,87.5,4,22,33,301,-1.6,32.48132517,100.9401258,-1.3319258,0.7294435
16,87.5,4,22,48,302,-1.6,32.38222985,101.3071624,-1.3281923,0.6830546
16,87.5,4,22,63,303,-1.6,32.30293133,101.5713325,-1.3254122,0.6371504
16,87.5,4,22,78,304,-1.6,32.23651062,101.7772859,-1.3231866,0.5916017
16,87.5,4,37,33,305,-1.6,32.42595178,100.5408554,-1.3319287,0.4821291
16,87.5,4,37,48,306,-1.6,32.32185686,100.9113359,-1.3278471,0.4283507
16,87.5,4,37,63,307,-1.6,32.23889186,101.1780137,-1.3247886999999998,0.3766937
16,87.5,4,37,78,308,-1.6,32.16914949,101.3859579,-1.3223287,0.3264312
16,87.5,4,52,33,309,-1.6,32.36825591,100.279577,-1.3298535,0.2292486
