batchNumber,VDS,VGS,Wg,nfing,gdg_val,gsg_val,fT_plt,fmax_plt,nf_min,gain
329,16,-1.6,100.0,4,37,33,32.79949232,97.4855417,1.3662444999999999,-0.08211410000000001
330,16,-1.6,100.0,4,37,48,32.71392833,97.8840885,1.3621504999999998,-0.1275082
331,16,-1.6,100.0,4,37,63,32.64584809,98.1731586,1.3590921,-0.1718326
332,16,-1.6,100.0,4,37,78,32.58871415,98.3997065,1.3566382,-0.2154096
333,16,-1.6,100.0,4,52,33,32.74884479,97.2065056,1.3648452,-0.3166538
334,16,-1.6,100.0,4,52,48,32.65838532,97.6026245,1.3603588,-0.3690829
335,16,-1.6,100.0,4,52,63,32.58643986,97.8919103,1.3569905,-0.41881320000000005
336,16,-1.6,100.0,4,52,78,32.52630401,98.118827,1.3542783999999999,-0.4667674
349,16,-1.6,25.0,6,22,33,29.49449797,112.76470079999999,1.2268832,2.5944326
350,16,-1.6,25.0,6,22,48,29.12648527,112.986799,1.2225663,2.453375
351,16,-1.6,25.0,6,22,63,28.837201500000003,113.13952040000001,1.2192938,2.3227147
352,16,-1.6,25.0,6,22,78,28.596587800000002,113.25443200000001,1.2166373,2.1980245
353,16,-1.6,25.0,6,37,33,29.35234327,112.5136252,1.217659,2.1950561
354,16,-1.6,25.0,6,37,48,28.97151856,112.7475706,1.2118649,2.0335631000000003
355,16,-1.6,25.0,6,37,63,28.67257582,112.9103629,1.2074145,1.8866539
356,16,-1.6,25.0,6,37,78,28.42421164,113.03358349999999,1.203767,1.7485043999999998
357,16,-1.6,25.0,6,52,33,29.18914728,112.3430896,1.2046868,1.7674293
358,16,-1.6,25.0,6,52,48,28.79323827,112.5840232,1.1970916999999999,1.5854091000000001
359,16,-1.6,25.0,6,52,63,28.48294209,112.75243190000002,1.1912133,1.4226088
360,16,-1.6,25.0,6,52,78,28.22546119,112.8805365,1.1863697,1.2716014
373,16,-1.6,37.5,6,22,33,30.89787341,111.1445471,1.2420783000000002,2.0338096
374,16,-1.6,37.5,6,22,48,30.65237599,111.38703229999999,1.2382377,1.9223119999999998
375,16,-1.6,37.5,6,22,63,30.45896633,111.55574890000001,1.2353535,1.8169593999999998
376,16,-1.6,37.5,6,22,78,30.29810846,111.68359309999998,1.2330297,1.7151998
377,16,-1.6,37.5,6,37,33,30.79234168,110.87157140000002,1.2373716000000001,1.6597546000000003
378,16,-1.6,37.5,6,37,48,30.53693856,111.1253803,1.2326466,1.5331816
379,16,-1.6,37.5,6,37,63,30.33613605,111.302761,1.2290613000000001,1.4161785
380,16,-1.6,37.5,6,37,78,30.169091100000003,111.4379244,1.2261507999999999,1.3050095
381,16,-1.6,37.5,6,52,33,30.6735321,110.6869487,1.2297972,1.2686161
382,16,-1.6,37.5,6,52,48,30.40647216,110.9475375,1.2239623,1.1264735000000001
383,16,-1.6,37.5,6,52,63,30.19662633,111.130252,1.2195015,0.9976756
384,16,-1.6,37.5,6,52,78,30.02229406,111.2697487,1.2158611000000001,0.8771492000000001
397,16,-1.6,50.0,6,22,33,31.82364626,109.0436426,1.2594266,1.2384638000000001
398,16,-1.6,50.0,6,22,48,31.64782908,109.3130977,1.2557851999999998,1.149746
399,16,-1.6,50.0,6,22,63,31.50984059,109.502256,1.2530669,1.0644618000000001
400,16,-1.6,50.0,6,22,78,31.39531757,109.6466453,1.2508871000000001,0.9812151
401,16,-1.6,50.0,6,37,33,31.739238500000003,108.74226770000001,1.2570332,0.8996487
402,16,-1.6,50.0,6,37,48,31.55570589,109.02216899999999,1.2528101,0.7995418000000001
403,16,-1.6,50.0,6,37,63,31.41178209,109.2188565,1.2496346999999999,0.7056439
404,16,-1.6,50.0,6,37,78,31.29257012,109.36969979999999,1.2470758,0.6155769
405,16,-1.6,50.0,6,52,33,31.64609413,108.54032179999999,1.2522223,0.5500639
406,16,-1.6,50.0,6,52,48,31.45364709,108.8254163,1.2472486,0.43791019999999997
407,16,-1.6,50.0,6,52,63,31.3026478,109.02733700000002,1.2434865,0.3350349
408,16,-1.6,50.0,6,52,78,31.17756146,109.18192490000001,1.2404423999999998,0.23795479999999997
421,16,-1.6,62.5,6,22,33,32.55587261,106.5765447,1.2802214,0.40027579999999996
422,16,-1.6,62.5,6,22,48,32.42507152,106.8781487,1.2766573,0.3304626
423,16,-1.6,62.5,6,22,63,32.32331158,107.09126869999999,1.2740075000000002,0.2621235
424,16,-1.6,62.5,6,22,78,32.23933837,107.25451650000001,1.2718896,0.19466129999999998
425,16,-1.6,62.5,6,37,33,32.48525316,106.2440737,1.2792639,0.097728
426,16,-1.6,62.5,6,37,48,32.34843592,106.5525761,1.2753025,0.019075400000000003
427,16,-1.6,62.5,6,37,63,32.2418549,106.77225039999999,1.2723445,-0.055836699999999996
428,16,-1.6,62.5,6,37,78,32.15407751,106.9418872,1.2699742,-0.1284207
429,16,-1.6,62.5,6,52,33,32.40903949,106.0231327,1.27615,-0.21179679999999998
430,16,-1.6,62.5,6,52,48,32.26496012,106.3353346,1.2716586,-0.2999686
431,16,-1.6,62.5,6,52,63,32.15284812,106.55827420000001,1.2682916000000002,-0.3818818
432,16,-1.6,62.5,6,52,78,32.06061677,106.7308322,1.2655872,-0.45986540000000004
445,16,-1.6,75.0,6,22,33,33.19712656,103.8479597,1.3050285,-0.4210526
446,16,-1.6,75.0,6,22,48,33.09810169,104.18230849999999,1.3014712,-0.4747483
447,16,-1.6,75.0,6,22,63,33.02188087,104.42047099999999,1.2988342,-0.5284866
448,16,-1.6,75.0,6,22,78,32.95958709,104.60489749999999,1.2967316999999998,-0.5822693
449,16,-1.6,75.0,6,37,33,33.13623532,103.4816721,1.3050788,-0.6894368000000001
450,16,-1.6,75.0,6,37,48,33.03226908,103.8215118,1.3012494,-0.7501338000000001
451,16,-1.6,75.0,6,37,63,32.95225726,104.0650487,1.2984055,-0.809005
452,16,-1.6,75.0,6,37,78,32.88707503,104.2532981,1.2961367,-0.8667326999999999
453,16,-1.6,75.0,6,52,33,33.07214735,103.2401733,1.3031323000000001,-0.9623232
454,16,-1.6,75.0,6,52,48,32.9624405,103.5819173,1.2989229,-1.0306488
455,16,-1.6,75.0,6,52,63,32.87805204,103.8278801,1.2957913,-1.0950653000000001
456,16,-1.6,75.0,6,52,78,32.80913411,104.01931979999999,1.2932917,-1.1570194
469,16,-1.6,87.5,6,22,33,33.79396714,100.939859,1.3342273,-1.2050973999999999
470,16,-1.6,87.5,6,22,48,33.71824163,101.3069,1.3306281,-1.2448844
471,16,-1.6,87.5,6,22,63,33.66133546,101.57107020000001,1.3279659,-1.285934
472,16,-1.6,87.5,6,22,78,33.61544422,101.7770226,1.3258472,-1.3277826000000001
473,16,-1.6,87.5,6,37,33,33.74011615,100.5405848,1.3350520000000001,-1.4424198000000001
474,16,-1.6,87.5,6,37,48,33.66077185,100.91106479999999,1.3312723999999998,-1.4878208
475,16,-1.6,87.5,6,37,63,33.60094962,101.17774440000001,1.3284777,-1.5329322
476,16,-1.6,87.5,6,37,78,33.55247324,101.3856882,1.3262561000000002,-1.5778611999999999
477,16,-1.6,87.5,6,52,33,33.68506166,100.27931269999999,1.3339775,-1.6824841
478,16,-1.6,87.5,6,52,48,33.60112410000001,100.6496293,1.3299279,-1.7340381
479,16,-1.6,87.5,6,52,63,33.53763038,100.9181654,1.3269345,-1.7835685000000001
480,16,-1.6,87.5,6,52,78,33.48628865,101.1275526,1.324558,-1.8318231
493,16,-1.6,100.0,6,22,33,34.36995165,97.9146005,1.3681444,-1.9458735
494,16,-1.6,100.0,6,22,48,34.31316283,98.3130671,1.3644646999999999,-1.9735585
495,16,-1.6,100.0,6,22,63,34.27130239,98.6019895,1.3617479,-2.0035128
496,16,-1.6,100.0,6,22,78,34.23825948,98.82866750000001,1.3595887,-2.0348961
497,16,-1.6,100.0,6,37,33,34.322372200000004,97.4851506,1.3696087,-2.1553628
498,16,-1.6,100.0,6,37,48,34.26224903,97.8836968,1.3658203000000002,-2.1875709999999997
499,16,-1.6,100.0,6,37,63,34.21781127,98.1727699,1.3630288000000002,-2.220752
500,16,-1.6,100.0,6,37,78,34.182787899999994,98.39931740000002,1.3608163,-2.2545460999999998
501,16,-1.6,100.0,6,52,33,34.27411215,97.2061215,1.3692296999999998,-2.3662422000000003
502,16,-1.6,100.0,6,52,48,34.21040116,97.602237,1.3652566000000002,-2.4034091
503,16,-1.6,100.0,6,52,63,34.16309285,97.8915207,1.3623357,-2.440101
504,16,-1.6,100.0,6,52,78,34.12606226,98.1184392,1.3600273,-2.4764963
517,16,-1.6,25.0,8,22,33,29.48961439,112.7653303,1.2273771999999998,1.8304984
518,16,-1.6,25.0,8,22,48,29.13460565,112.9874183,1.2231033000000002,1.6533647
519,16,-1.6,25.0,8,22,63,28.85680006,113.14012930000001,1.219871,1.4874375
520,16,-1.6,25.0,8,22,78,28.626621399999998,113.25503459999999,1.2172527,1.3280336000000001
521,16,-1.6,25.0,8,37,33,29.34929012,112.514265,1.2182823,1.3413761999999998
522,16,-1.6,25.0,8,37,48,28.98202002,112.74820020000001,1.2125829,1.1436254
