batchNum,vds,vgs,wg,nfing,gdg,gsg,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM
150,20,-1.4,100,4,52,78,2.78678,16.60288,-30.64211,77.22788,0.8884,9.85336,-53.58953,30.47163,-5.90873,10.74176,24.5629,8.01109
151,20,-1.4,100,6,22,33,2.42714,16.5947,-30.25173,87.29704,0.91121,10.35197,-54.50669,31.63247,-5.72488,11.23517,25.90759,8.01268
152,20,-1.4,100,6,22,48,2.45222,17.04405,-30.17016,83.12216,0.91153,10.3303,-54.28916,31.6771,-5.60148,11.21494,26.07563,8.01299
153,20,-1.4,100,6,22,78,2.45552,17.64497,-30.08882,78.99993,0.91122,10.15304,-54.05201,31.68294,-5.38946,11.03919,26.29349,8.01335
154,20,-1.4,100,6,52,48,2.50089,17.13729,-30.08312,77.81102,0.91427,10.19239,-53.8864,31.76246,-5.54107,11.08765,26.22139,8.01292
155,20,-1.4,100,6,52,78,2.49684,17.78476,-30.00957,75.73843,0.91212,9.98868,-53.74953,31.75542,-5.3175,10.88311,26.43792,8.01327
156,20,-1.4,100,8,22,33,2.33821,16.33325,-29.72172,86.87577,0.87274,10.28479,-54.1205,32.71974,-5.65955,11.13032,27.06019,8.01328
157,20,-1.4,100,8,22,48,2.32353,16.77417,-29.6587,83.94923,0.87107,10.07753,-53.86411,32.69238,-5.46548,10.92151,27.2269,8.01355
158,20,-1.4,100,8,22,78,2.25903,17.3302,-29.63341,79.11517,0.87068,9.59523,-53.63333,32.57012,-5.12477,10.43883,27.44535,8.01375
159,20,-1.4,100,8,52,48,2.42399,16.05767,-29.55411,78.57906,0.86212,10.03526,-53.35229,32.8762,-5.67203,10.89026,27.20417,8.01335
160,20,-1.4,100,8,52,78,2.60886,16.7986,-29.4449,75.17096,0.85682,9.60481,-52.93567,33.1954,-5.694,10.45404,27.5014,8.01365
1,24,-1.4,25,2,22,33,3.88743,10.56281,-32.37595,72.06578,0.41329,12.98152,-57.36387,22.88633,-9.09819,13.39481,13.78814,8.01424
2,24,-1.4,25,2,22,48,3.87243,11.06189,-32.39823,73.93438,0.42153,12.81658,-57.28116,22.86953,-8.86342,13.23808,14.00611,8.0139
3,24,-1.4,25,2,22,78,3.86611,11.96839,-32.42477,74.42828,0.44205,12.5725,-56.91189,22.86244,-8.46188,13.01413,14.40056,8.01346
4,24,-1.4,25,2,52,48,3.75154,14.29428,-32.44232,73.59741,0.68272,11.44323,-57.32219,22.7318,-7.45796,12.12596,15.27384,8.02153
5,24,-1.4,25,2,52,78,3.6715,15.39213,-32.45814,72.80636,0.72594,10.89579,-57.09723,22.63813,-6.93999,11.62173,15.69814,8.01947
6,24,-1.4,25,4,22,33,3.86486,10.7618,-32.20642,74.16501,0.4278,12.97283,-57.14297,25.87134,-8.99039,13.39853,16.88095,8.01259
7,24,-1.4,25,4,22,48,3.81505,11.75593,-32.23248,75.9634,0.48563,12.6573,-57.06329,25.815,-8.52166,13.14293,17.29334,8.01275
8,24,-1.4,25,4,22,78,3.61575,12.33646,-32.27833,75.04399,0.58719,12.06094,-57.33208,25.58199,-7.99556,12.64813,17.58643,8.01317
9,24,-1.4,25,4,52,48,3.98924,11.16389,-32.28495,74.2847,0.42475,11.76421,-56.9377,26.0089,-8.84885,12.18896,17.16005,8.01335
10,24,-1.4,25,4,52,78,3.72437,12.56081,-32.33002,74.12731,0.55779,10.82175,-56.64002,25.71053,-7.85782,11.37955,17.85271,8.0128
11,24,-1.4,25,6,22,33,3.85245,11.82792,-32.01828,74.57912,0.53955,13.11304,-57.04318,27.61829,-8.57745,13.64524,19.04083,8.01374
12,24,-1.4,25,6,22,48,3.81559,12.78962,-32.03653,76.97531,0.59011,12.78027,-57.09151,27.57653,-8.18163,13.36706,19.3949,8.01371
